location_id,sku_id,on_hand_qty,safety_stock,reorder_point,unit_cost,last_updated
DC02,SKU0072,58,24,25,12.87,2025-12-26
DC02,SKU0073,64,27,28,2.39,2025-10-17
DC02,SKU0074,73,27,53,8.68,2025-10-17
DC02,SKU0075,51,15,51,6.21,2025-11-01
DC02,SKU0076,63,22,33,9.34,2025-10-21
DC02,SKU0077,56,17,67,2.89,2025-12-25
DC02,SKU0078,60,19,23,11.98,2025-09-27
DC02,SKU0079,72,29,46,6.12,2025-09-13
DC02,SKU0080,74,25,37,13.11,2025-09-11
DC03,SKU0001,65,15,46,14.76,2025-11-30
DC03,SKU0002,72,26,69,13.31,2025-10-07
DC03,SKU0003,53,13,42,12.72,2025-12-05
DC03,SKU0004,55,16,49,5.05,2025-11-29
DC03,SKU0005,60,28,43,10.76,2025-09-08
DC03,SKU0006,57,16,23,5.39,2025-10-25
DC03,SKU0007,59,29,21,13.58,2025-09-09
DC03,SKU0008,73,17,52,5.5,2025-09-01
DC03,SKU0009,56,19,39,2.34,2025-10-22
DC03,SKU0010,59,15,53,10.42,2025-09-18
DC03,SKU0011,60,23,59,12.68,2025-10-30
DC03,SKU0012,55,19,44,1.81,2025-11-21
DC03,SKU0013,62,18,66,10.13,2025-09-23
DC03,SKU0014,62,12,26,12.49,2025-10-22
DC03,SKU0015,70,23,56,6.82,2025-11-14
DC03,SKU0016,65,11,64,6.0,2025-11-01
DC03,SKU0017,53,10,32,6.06,2025-11-20
DC03,SKU0018,56,20,28,3.28,2025-09-01
DC03,SKU0019,50,29,29,3.49,2025-12-02
DC03,SKU0020,65,16,29,3.55,2025-12-08
DC03,SKU0021,58,24,59,6.25,2025-11-17
DC03,SKU0022,63,18,64,1.36,2025-12-28
DC03,SKU0023,67,10,40,8.34,2025-12-08
DC03,SKU0024,65,28,20,10.28,2025-09-22
DC03,SKU0025,61,18,66,1.3,2025-11-24
DC03,SKU0026,61,18,26,8.24,2025-09-19
DC03,SKU0027,58,13,25,3.6,2025-09-20
DC03,SKU0028,65,11,39,2.76,2025-09-30
DC03,SKU0029,63,11,21,13.61,2025-09-07
DC03,SKU0030,55,29,66,8.76,2025-11-25
DC03,SKU0031,68,15,56,7.88,2025-10-17
DC03,SKU0032,60,18,24,4.91,2025-09-01
DC03,SKU0033,50,17,32,1.29,2025-11-03
DC03,SKU0034,59,20,49,10.83,2025-11-12
DC03,SKU0035,74,21,53,11.84,2025-11-07
DC03,SKU0036,65,17,48,12.71,2025-11-18
DC03,SKU0037,48,12,25,14.87,2025-09-03
DC03,SKU0038,49,27,53,11.87,2025-11-08
DC03,SKU0039,58,12,43,10.81,2025-09-14
DC03,SKU0040,68,18,60,7.79,2025-10-24
DC03,SKU0041,50,28,31,2.83,2025-10-06
DC03,SKU0042,59,12,23,14.91,2025-11-11
DC03,SKU0043,69,25,24,10.69,2025-10-20
DC03,SKU0044,87,13,62,2.49,2025-11-17
DC03,SKU0045,63,20,28,8.56,2025-09-09
DC03,SKU0046,54,24,51,3.14,2025-12-21
DC03,SKU0047,71,11,35,12.92,2025-09-21
DC03,SKU0048,62,16,30,2.2,2025-10-11
DC03,SKU0049,62,25,46,6.03,2025-09-11
DC03,SKU0050,53,22,62,2.8,2025-09-25
DC03,SKU0051,62,14,64,2.02,2025-10-16
DC03,SKU0052,63,22,24,8.88,2025-09-20
DC03,SKU0053,46,29,54,6.2,2025-12-22
DC03,SKU0054,61,14,25,6.34,2025-10-14
DC03,SKU0055,56,11,61,14.3,2025-09-19
DC03,SKU0056,58,13,42,4.2,2025-12-10
DC03,SKU0057,54,11,47,9.33,2025-10-22
DC03,SKU0058,61,22,35,3.96,2025-10-25
DC03,SKU0059,56,14,64,3.99,2025-12-06
DC03,SKU0060,55,10,40,13.78,2025-11-12
DC03,SKU0061,60,18,62,6.79,2025-10-05
DC03,SKU0062,62,19,48,12.54,2025-11-20
DC03,SKU0063,62,17,23,14.48,2025-10-23
DC03,SKU0064,52,20,25,13.53,2025-09-13
DC03,SKU0065,57,22,24,9.04,2025-12-01
DC03,SKU0066,51,23,21,2.55,2025-10-20
DC03,SKU0067,62,23,40,5.26,2025-11-05
DC03,SKU0068,72,26,27,12.88,2025-12-22
DC03,SKU0069,70,28,23,8.51,2025-10-16
DC03,SKU0070,67,22,65,14.12,2025-11-04
DC03,SKU0071,78,28,60,11.23,2025-12-20
DC03,SKU0072,61,13,39,11.06,2025-10-04
DC03,SKU0073,69,19,42,11.29,2025-12-13
DC03,SKU0074,61,11,55,5.61,2025-12-14
DC03,SKU0075,69,28,23,11.39,2025-09-22
DC03,SKU0076,50,25,34,9.1,2025-10-27
DC03,SKU0077,71,24,46,1.88,2025-10-07
DC03,SKU0078,74,14,49,7.87,2025-12-24
DC03,SKU0079,64,28,59,8.13,2025-10-24
DC03,SKU0080,61,12,21,12.39,2025-09-05
DC04,SKU0001,52,25,60,12.25,2025-10-17
DC04,SKU0002,51,17,63,8.01,2025-09-17
DC04,SKU0003,68,18,43,4.1,2025-09-14
DC04,SKU0004,59,20,51,5.35,2025-10-04
DC04,SKU0005,61,22,30,9.79,2025-12-02
DC04,SKU0006,62,27,39,5.63,2025-10-25
DC04,SKU0007,44,25,34,13.51,2025-10-30
DC04,SKU0008,61,10,21,14.61,2025-11-30
DC04,SKU0009,48,10,41,13.85,2025-11-26
DC04,SKU0010,63,28,21,11.71,2025-10-31
DC04,SKU0011,58,22,24,12.33,2025-11-02
DC04,SKU0012,56,29,59,5.09,2025-09-01
DC04,SKU0013,77,25,32,6.46,2025-11-24
DC04,SKU0014,50,29,68,14.53,2025-12-09
DC04,SKU0015,51,17,47,5.06,2025-10-26
DC04,SKU0016,53,27,40,14.8,2025-11-26
DC04,SKU0017,70,14,38,6.64,2025-10-19
DC04,SKU0018,53,25,28,12.53,2025-09-04
DC04,SKU0019,67,22,23,2.09,2025-10-11
DC04,SKU0020,51,25,51,8.08,2025-09-03
DC04,SKU0021,49,23,68,4.21,2025-11-11
DC04,SKU0022,64,14,24,12.14,2025-09-12
DC04,SKU0023,50,20,40,2.23,2025-10-20
DC04,SKU0024,63,12,67,4.92,2025-10-29
DC04,SKU0025,62,16,60,5.86,2025-12-05
DC04,SKU0026,48,27,68,8.78,2025-09-21
DC04,SKU0027,69,18,66,10.0,2025-12-21
DC04,SKU0028,52,17,55,13.08,2025-09-09
DC04,SKU0029,47,14,69,8.61,2025-09-15
DC04,SKU0030,52,27,34,1.13,2025-11-29
DC04,SKU0031,71,29,66,2.82,2025-09-29
DC04,SKU0032,67,18,67,1.81,2025-11-18
DC04,SKU0033,54,10,24,2.65,2025-10-25
DC04,SKU0034,48,12,49,14.75,2025-12-01
DC04,SKU0035,55,23,58,12.36,2025-10-11
DC04,SKU0036,55,11,53,14.85,2025-11-17
DC04,SKU0037,60,12,23,1.0,2025-10-04
DC04,SKU0038,49,15,21,11.91,2025-12-25
DC04,SKU0039,53,25,58,6.56,2025-11-28
DC04,SKU0040,59,18,42,13.92,2025-12-27
DC04,SKU0041,52,23,29,13.09,2025-09-20
DC04,SKU0042,59,19,31,12.7,2025-11-16
DC04,SKU0043,51,20,51,14.9,2025-12-28
DC04,SKU0044,44,11,23,6.38,2025-12-07
DC04,SKU0045,55,28,33,10.13,2025-09-07
DC04,SKU0046,55,12,66,3.1,2025-11-24
DC04,SKU0047,50,21,32,14.8,2025-11-24
DC04,SKU0048,62,17,51,10.46,2025-10-05
DC04,SKU0049,64,29,30,2.88,2025-09-22
DC04,SKU0050,56,28,30,1.84,2025-12-20
DC04,SKU0051,67,17,20,2.28,2025-11-16
DC04,SKU0052,65,23,22,7.23,2025-09-01
DC04,SKU0053,63,29,47,10.73,2025-11-10
DC04,SKU0054,66,28,51,9.54,2025-11-21
DC04,SKU0055,68,28,32,2.69,2025-11-05
DC04,SKU0056,59,10,40,3.17,2025-11-22
DC04,SKU0057,61,16,54,7.26,2025-11-17
DC04,SKU0058,48,26,24,5.25,2025-10-06
DC04,SKU0059,76,22,36,10.22,2025-11-15
DC04,SKU0060,58,11,29,14.25,2025-10-15
DC04,SKU0061,69,26,60,7.6,2025-11-07
DC04,SKU0062,72,25,38,14.83,2025-10-16
DC04,SKU0063,72,18,54,10.46,2025-10-15
DC04,SKU0064,53,10,58,11.88,2025-11-01
DC04,SKU0065,54,12,64,13.51,2025-12-22
DC04,SKU0066,67,10,54,2.78,2025-09-23
DC04,SKU0067,53,18,36,12.92,2025-11-08
DC04,SKU0068,68,24,32,9.21,2025-12-18
DC04,SKU0069,59,27,26,14.12,2025-09-04
DC04,SKU0070,73,27,42,7.03,2025-11-21
DC04,SKU0071,58,21,54,8.27,2025-12-01
DC04,SKU0072,52,15,42,7.29,2025-09-28
DC04,SKU0073,71,11,23,1.91,2025-09-11
DC04,SKU0074,65,25,68,10.52,2025-09-30
DC04,SKU0075,68,28,52,12.79,2025-12-13
DC04,SKU0076,58,15,26,10.77,2025-09-25
DC04,SKU0077,60,19,60,6.86,2025-09-06
DC04,SKU0078,73,18,55,6.38,2025-11-14
DC04,SKU0079,72,11,49,14.1,2025-10-12
DC04,SKU0080,60,14,56,6.99,2025-12-20
DC05,SKU0001,61,21,21,7.68,2025-10-21
DC05,SKU0002,41,13,64,11.14,2025-10-16
DC05,SKU0003,53,11,30,5.17,2025-09-03
DC05,SKU0004,60,15,46,4.56,2025-10-24
DC05,SKU0005,61,26,52,8.39,2025-10-24
DC05,SKU0006,71,15,32,7.39,2025-12-17
DC05,SKU0007,57,24,47,10.69,2025-12-23
DC05,SKU0008,68,14,22,7.41,2025-10-27
DC05,SKU0009,80,20,48,10.35,2025-09-12
DC05,SKU0010,62,29,57,10.57,2025-10-08
DC05,SKU0011,56,19,55,2.68,2025-10-01
DC05,SKU0012,61,23,30,8.66,2025-10-23
DC05,SKU0013,70,22,28,4.05,2025-12-16
DC05,SKU0014,64,27,21,12.42,2025-10-15
DC05,SKU0015,63,12,63,3.0,2025-12-28
DC05,SKU0016,43,13,65,11.41,2025-10-28
DC05,SKU0017,65,19,28,7.03,2025-12-13
DC05,SKU0018,61,19,65,12.97,2025-11-24
DC05,SKU0019,59,13,44,1.65,2025-12-23
DC05,SKU0020,59,23,37,1.68,2025-11-04
DC05,SKU0021,55,18,33,9.29,2025-10-06
DC05,SKU0022,70,23,48,9.76,2025-11-06
DC05,SKU0023,75,14,67,8.06,2025-11-20
DC05,SKU0024,69,24,59,8.45,2025-09-23
DC05,SKU0025,76,12,38,7.85,2025-12-05
DC05,SKU0026,63,17,66,6.8,2025-12-15
DC05,SKU0027,64,20,46,10.96,2025-12-27
DC05,SKU0028,46,27,30,13.38,2025-09-18
DC05,SKU0029,54,23,44,14.69,2025-11-11
DC05,SKU0030,69,21,41,9.45,2025-10-18
DC05,SKU0031,63,19,49,5.58,2025-11-10
DC05,SKU0032,60,19,31,13.49,2025-10-21
DC05,SKU0033,57,26,67,6.67,2025-11-03
DC05,SKU0034,64,10,60,2.92,2025-11-08
DC05,SKU0035,67,27,41,12.8,2025-11-27
DC05,SKU0036,64,25,51,11.55,2025-12-15
DC05,SKU0037,80,21,34,14.9,2025-11-04
DC05,SKU0038,61,22,67,2.93,2025-10-09
DC05,SKU0039,60,23,22,4.56,2025-09-10
DC05,SKU0040,70,27,66,4.85,2025-11-11
DC05,SKU0041,66,29,33,6.0,2025-11-12
DC05,SKU0042,52,18,56,7.15,2025-11-24
DC05,SKU0043,61,28,56,1.33,2025-10-31
DC05,SKU0044,73,26,44,6.76,2025-09-30
DC05,SKU0045,67,20,41,11.26,2025-09-09
DC05,SKU0046,54,29,63,13.7,2025-11-11
DC05,SKU0047,76,12,33,12.05,2025-12-15
DC05,SKU0048,55,19,27,9.64,2025-12-24
DC05,SKU0049,80,27,36,1.83,2025-11-10
DC05,SKU0050,53,26,51,12.29,2025-10-28
DC05,SKU0051,57,22,26,11.31,2025-10-08
DC05,SKU0052,56,29,54,13.01,2025-09-08
DC05,SKU0053,55,12,30,10.56,2025-09-26
DC05,SKU0054,54,27,53,14.57,2025-10-06
DC05,SKU0055,71,21,47,2.9,2025-11-05
DC05,SKU0056,55,14,22,14.8,2025-11-28
DC05,SKU0057,53,29,24,3.9,2025-10-06
DC05,SKU0058,59,12,46,2.74,2025-11-02
DC05,SKU0059,53,21,42,6.24,2025-09-01
DC05,SKU0060,73,18,64,4.7,2025-10-14
DC05,SKU0061,68,20,31,14.99,2025-11-14
DC05,SKU0062,60,12,36,14.53,2025-10-12
DC05,SKU0063,69,17,48,13.49,2025-11-14
DC05,SKU0064,61,13,63,5.61,2025-09-25
DC05,SKU0065,59,18,69,1.85,2025-09-08
DC05,SKU0066,49,29,37,6.01,2025-12-08
DC05,SKU0067,59,16,66,8.74,2025-12-15
DC05,SKU0068,64,21,53,3.72,2025-10-17
DC05,SKU0069,57,20,44,13.79,2025-09-04
DC05,SKU0070,79,12,58,1.97,2025-12-16
DC05,SKU0071,69,12,22,10.53,2025-11-15
DC05,SKU0072,53,16,51,3.17,2025-10-27
DC05,SKU0073,44,16,27,8.48,2025-11-20
DC05,SKU0074,43,27,67,2.05,2025-11-13
DC05,SKU0075,51,21,45,9.21,2025-09-10
DC05,SKU0076,50,16,32,3.15,2025-12-27
DC05,SKU0077,62,12,47,6.09,2025-10-28
DC05,SKU0078,57,10,60,5.04,2025-10-31
DC05,SKU0079,52,24,37,9.63,2025-09-07
DC05,SKU0080,67,28,58,11.96,2025-09-05
BR001,SKU0001,70,13,61,11.54,2025-12-28
BR001,SKU0002,57,19,60,11.04,2025-10-18
BR001,SKU0003,71,17,35,2.78,2025-11-18
BR001,SKU0004,64,20,52,2.19,2025-11-16
BR001,SKU0005,68,20,26,13.98,2025-11-05
BR001,SKU0006,64,26,46,10.46,2025-09-01
BR001,SKU0007,60,23,64,6.01,2025-12-12
BR001,SKU0008,73,14,60,6.29,2025-10-10
BR001,SKU0009,52,16,48,6.21,2025-09-14
BR001,SKU0010,71,22,47,10.04,2025-12-06
BR001,SKU0011,61,13,32,10.04,2025-09-17
BR001,SKU0012,60,12,30,10.0,2025-12-22
BR001,SKU0013,72,27,65,2.75,2025-09-08
BR001,SKU0014,62,19,52,13.78,2025-11-15
BR001,SKU0015,52,29,42,8.43,2025-10-29
BR001,SKU0016,49,28,20,5.38,2025-09-27
BR001,SKU0017,58,12,22,10.62,2025-11-26
BR001,SKU0018,68,18,49,3.41,2025-10-08
BR001,SKU0019,59,28,41,8.37,2025-12-08
BR001,SKU0020,57,24,45,8.93,2025-12-19
BR001,SKU0021,75,13,35,6.92,2025-12-16
BR001,SKU0022,48,15,54,12.95,2025-09-09
BR001,SKU0023,53,20,52,13.77,2025-11-19
BR001,SKU0024,53,28,21,4.56,2025-12-20
BR001,SKU0025,60,10,62,13.19,2025-11-19
BR001,SKU0026,49,11,61,6.24,2025-10-26
BR001,SKU0027,62,14,60,4.13,2025-10-10
BR001,SKU0028,67,24,65,9.99,2025-09-13
BR001,SKU0029,61,13,46,13.28,2025-11-19
BR001,SKU0030,46,12,20,2.56,2025-11-26
BR001,SKU0031,55,27,64,13.32,2025-12-21
BR001,SKU0032,62,22,63,13.97,2025-09-30
BR001,SKU0033,62,21,58,3.55,2025-10-23
BR001,SKU0034,43,19,53,14.5,2025-09-15
BR001,SKU0035,43,18,44,2.23,2025-09-09
BR001,SKU0036,63,15,61,1.58,2025-09-27
BR001,SKU0037,57,21,22,2.48,2025-10-20
BR001,SKU0038,71,10,48,9.41,2025-12-19
BR001,SKU0039,66,13,66,7.35,2025-11-23
BR001,SKU0040,50,10,44,2.2,2025-09-03
BR001,SKU0041,52,11,59,6.65,2025-09-11
BR001,SKU0042,59,18,25,10.02,2025-09-04
BR001,SKU0043,62,21,69,6.41,2025-11-11
BR001,SKU0044,49,11,51,4.95,2025-12-19
BR001,SKU0045,66,28,56,10.71,2025-11-17
BR001,SKU0046,55,21,66,7.72,2025-12-11
BR001,SKU0047,59,16,34,6.92,2025-12-09
BR001,SKU0048,58,18,20,7.22,2025-10-14
BR001,SKU0049,57,27,68,13.18,2025-09-01
BR001,SKU0050,52,19,23,5.5,2025-09-22
BR001,SKU0051,67,10,68,4.68,2025-09-30
BR001,SKU0052,49,27,61,1.21,2025-09-29
BR001,SKU0053,48,12,37,3.75,2025-09-07
BR001,SKU0054,64,18,67,1.02,2025-11-28
BR001,SKU0055,60,25,20,13.94,2025-10-30
BR001,SKU0056,61,20,52,8.16,2025-12-20
BR001,SKU0057,62,24,55,1.22,2025-09-11
BR001,SKU0058,64,12,62,12.77,2025-09-26
BR001,SKU0059,54,24,51,10.54,2025-10-08
BR001,SKU0060,59,26,21,4.83,2025-10-11
BR001,SKU0061,69,23,60,9.36,2025-10-23
BR001,SKU0062,69,24,46,2.78,2025-09-27
BR001,SKU0063,53,15,60,5.76,2025-09-13
BR001,SKU0064,65,21,36,8.69,2025-09-07
BR001,SKU0065,67,21,57,4.38,2025-11-22
BR001,SKU0066,62,18,43,9.57,2025-12-20
BR001,SKU0067,62,24,47,9.02,2025-09-19
BR001,SKU0068,50,11,49,2.87,2025-10-22
BR001,SKU0069,49,21,28,9.05,2025-10-20
BR001,SKU0070,59,24,69,3.73,2025-09-07
BR001,SKU0071,61,17,68,10.1,2025-10-13
BR001,SKU0072,77,11,37,5.79,2025-11-13
BR001,SKU0073,67,12,60,2.54,2025-11-19
BR001,SKU0074,67,15,54,6.74,2025-12-17
BR001,SKU0075,76,28,49,14.39,2025-10-15
BR001,SKU0076,76,17,34,11.09,2025-10-02
BR001,SKU0077,58,19,52,4.37,2025-09-11
BR001,SKU0078,50,19,27,5.82,2025-11-06
BR001,SKU0079,69,12,26,6.01,2025-10-28
BR001,SKU0080,43,28,25,14.58,2025-12-09
BR002,SKU0001,80,16,31,13.66,2025-09-02
BR002,SKU0002,60,26,40,4.76,2025-10-12
BR002,SKU0003,65,25,35,5.02,2025-09-06
BR002,SKU0004,78,14,36,12.02,2025-10-06
BR002,SKU0005,73,23,47,7.89,2025-09-17
BR002,SKU0006,60,26,39,8.52,2025-11-23
BR002,SKU0007,64,27,46,6.02,2025-09-27
BR002,SKU0008,57,20,54,4.67,2025-11-27
BR002,SKU0009,66,14,20,11.58,2025-11-19
BR002,SKU0010,61,22,54,8.16,2025-10-21
BR002,SKU0011,58,29,51,3.82,2025-09-02
BR002,SKU0012,58,14,69,3.77,2025-12-05
BR002,SKU0013,63,10,39,9.45,2025-12-22
BR002,SKU0014,53,10,30,3.29,2025-09-17
BR002,SKU0015,41,24,42,6.68,2025-10-23
BR002,SKU0016,58,25,33,9.42,2025-11-23
BR002,SKU0017,63,29,37,4.65,2025-10-05
BR002,SKU0018,65,18,50,8.31,2025-09-30
BR002,SKU0019,60,13,36,11.51,2025-11-17
BR002,SKU0020,62,28,60,6.71,2025-09-28
BR002,SKU0021,59,20,20,12.28,2025-12-13
BR002,SKU0022,66,28,46,8.94,2025-12-11
BR002,SKU0023,46,14,20,8.58,2025-09-03
BR002,SKU0024,61,20,29,6.84,2025-09-29
BR002,SKU0025,57,24,47,7.67,2025-12-06
BR002,SKU0026,60,16,54,9.61,2025-10-29
BR002,SKU0027,48,17,25,2.62,2025-09-09
BR002,SKU0028,67,19,52,1.06,2025-12-20
BR002,SKU0029,59,25,34,10.43,2025-09-08
BR002,SKU0030,54,13,23,2.69,2025-10-19
BR002,SKU0031,76,17,67,5.03,2025-10-08
BR002,SKU0032,55,15,52,14.97,2025-12-23
BR002,SKU0033,76,24,56,10.16,2025-11-18
BR002,SKU0034,59,21,43,12.48,2025-10-12
BR002,SKU0035,62,13,40,11.79,2025-11-10
